"determinant","lower","current","upper","weight","p_delta"
"When I use a face mask, I feel or would
feel ... [ Very uncomfortable | Very comfortable ]",0,0.438271604938272,1,0.357442354752912,0.200785520262439
"Spread of coronavirus… [ Doesn't scare me | Scares me ]",0,0.402184235517569,1,-0.324585301426958,-0.194042210112317
"Perceived risk coronavirus infection
with no protective behaviours [ Doesn't scare me | Scares me ]",0,0.424365757699091,1,0.306881316001868,0.176651393813041
"Perceived risk severity coronavirus
infection [ Doesn't scare me | Scares me ]",0,0.550490661601773,1,0.38606120134505,0.173538115197838
"Spread of coronavirus… [ Doesn't scare me | Scares me ]",0,0.528490028490028,1,0.36593252145233,0.17254083276456
"If or when I use a face mask… [ I produce
unnecessary waste | I do not produce
unnecessary waste ]",0,0.500949667616334,1,0.341026111019307,0.170189194055694
"Spread of coronavirus… [ Doesn't scare me | Scares me ]",0,0.581671415004748,1,0.376878273155124,0.157658954724437
"When I use a face mask, I feel or would
feel ... [ Very anxious | Very calm ]",0,0.619183285849953,1,0.39508533875565,0.150455100513785
"When I use a face mask, I feel or would
feel ... [ Very insecure | Very safe ]",0,0.657961380183602,1,0.436103384906409,0.149164199870647
"If or when I use a face mask… [ I get enough oxygen | I don't get enough
oxygen ]",0,0.61522633744856,1,0.322690457199409,0.124162789087015
"Is taking a mask with you automatic for
you? [ 1 Not at all
automatic | 7 Fully automatic ]",0,0.769389047166825,1,0.511346794647628,0.117922171541879
"Using a face mask [ Ineffective | Effective ]",0,0.778727445394112,1,0.529897448151504,0.117251762031624
"If or when I use a face mask… [ It decreases sense
of community | It increases sense
of community ]",0,0.616967394745172,1,0.303968990134226,0.116430034207792
"When I use a face mask, I feel or would
feel ... [ Very easy to
breathe | Very difficult to
breathe ]",0,0.520417853751187,1,-0.240231680866199,-0.115210825106772
"Is putting on a mask automatic for you? [ 1 Not at all
automatic | 7 Fully automatic ]",0,0.791231402342513,1,0.529976556144737,0.110642462417681
"If or when I use a face mask… [ I expose myself to
coronavirus
infection | I protect myself
from coronavirus
infection ]",0,0.736783792339348,1,0.394355157219172,0.103800668954651
"Spread of coronavirus… [ Doesn't scare me | Scares me ]",0,0.720797720797721,1,0.346756471269923,0.0968151971067021
"In the indoors spaces I visit, people
on the site think I should… [ Not to use a mask | Use a mask ]",0,0.804051915163026,1,0.461745308459992,0.0904781088751931
"When I use a face mask, I feel or would
feel ... [ Very irresponsible | Very responsible ]",0,0.806742640075973,1,0.449080018441768,0.0867880187586893
"My family and friends think I should .. [ Not to use a mask | Use a mask ]",0,0.83934789490345,1,0.464310655667262,0.0745924842517048
"If or when I use a face mask… [ I expose others to
coronavirus
infection | I protect others
from coronavirus
infection ]",0,0.874327318771763,1,0.47441379685975,0.0596208538630329
"Keeping a safety distance (2 meters) [ Ineffective | Effective ]",0,0.836657169990503,1,0.320666533222714,0.0523785790259324
"Ventilation [ Ineffective | Effective ]",0,0.768122823678379,1,0.214732246915195,0.0497915070798925
"Perceived risk coronavirus infection [ Doesn't scare me | Scares me ]",0,0.193867860534527,1,0.0594314969936551,0.047909639823131
"People at risk think I should .. [ Not to use a mask | Use a mask ]",0,0.898860398860399,1,0.380401729750607,0.0384736792197908
"Hand washing and use of gloves [ Ineffective | Effective ]",0,0.840614118391896,1,0.138079455719643,0.0220079157818424
"The authorities think I should .. [ Not to use a mask | Use a mask ]",0,0.924501424501424,1,0.28902174570656,0.0218207300889568
